,platform,platform-release,architecture,hostname,processor,ram-gb,cpu-count,tag,bm-version,classla-v,obeliks-v,torch-v,accelerator,ts,func,execution-time,sentences,ne,count
0,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,ner-classla-spacy_trf,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624102711,bm_classla_ner_sl,51.66845457901945,13699,6906,5245
1,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,ner-classla-spacy_trf,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624102764,bm_spacy_ner_en_trf,26.05035144701833,13687,8612,5243
