,platform,platform-release,architecture,hostname,processor,ram-gb,cpu-count,tag,bm-version,classla-v,obeliks-v,torch-v,accelerator,ts,func,execution-time,sentences,ne,count
0,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,ner-classla_quick-spacy_quick,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624101313,bm_classla_ner_1000_sl,11.450211745977867,2676,1374,1000
1,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,ner-classla_quick-spacy_quick,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624101325,bm_spacy_ner_1000_en,3.1304385949624702,2830,1755,1000
