,platform,platform-release,architecture,hostname,processor,ram-gb,cpu-count,tag,bm-version,classla-v,obeliks-v,torch-v,accelerator,ts,func,execution-time,sentences,nouns,count
0,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,pos-classla_quick-spacy_quick,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624101297,bm_classla_pos_100_sl,10.13683202204993,301,462,100
1,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,pos-classla_quick-spacy_quick,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624101308,bm_spacy_pos_100_en,1.8887367250281386,275,926,100
