,platform,platform-release,architecture,hostname,processor,ram-gb,cpu-count,tag,bm-version,classla-v,obeliks-v,torch-v,accelerator,ts,func,execution-time,sentences,nouns,count
0,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,pos-classla-spacy_trf,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624102340,bm_classla_pos_sl,338.9785984980408,13699,21090,5245
1,Linux,5.8.0-55-generic,x86_64,hal00,x86_64,126,64,pos-classla-spacy_trf,1.0,1.0.1,1.0.5,1.8.1,cuda[NVIDIA TITAN RTX],1624102680,bm_spacy_pos_en_trf,25.86609301500721,13687,41819,5243
