,platform,platform-release,architecture,hostname,processor,ram-gb,cpu-count,tag,bm-version,classla-v,obeliks-v,torch-v,accelerator,ts,func,execution-time,sentences,nouns,count
0,Darwin,20.5.0,x86_64,solaris,i386,32,12,pos-classla_quick-spacy_quick_trf,1.0,1.0.1,1.0.5,1.8.1,cpu[no-cuda-available],1624076523,bm_classla_pos_100_sl,14.828389381,301,462,100
1,Darwin,20.5.0,x86_64,solaris,i386,32,12,pos-classla_quick-spacy_quick_trf,1.0,1.0.1,1.0.5,1.8.1,cpu[no-cuda-available],1624076539,bm_spacy_pos_100_en_trf,22.485929611000003,272,920,100
