,platform,platform-release,architecture,hostname,processor,ram-gb,cpu-count,tag,bm-version,classla-v,obeliks-v,torch-v,accelerator,ts,func,execution-time,sentences,nouns,count
0,Darwin,20.5.0,x86_64,solaris,i386,32,12,pos-classla_quick-spacy_quick,1.0,1.0.1,1.0.5,1.8.1,cpu[no-cuda-available],1624075696,bm_classla_pos_100_sl,14.909358721,301,462,100
1,Darwin,20.5.0,x86_64,solaris,i386,32,12,pos-classla_quick-spacy_quick,1.0,1.0.1,1.0.5,1.8.1,cpu[no-cuda-available],1624075712,bm_spacy_pos_100_en,2.131559234000001,275,926,100
